EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 07-12-2020
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : precipitation amount in 0.1 mm
30-34 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 101043) of SPAIN, ALICANTE (STAID: 412)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   RR, Q_RR
   412,101043,19380901,    0,    0
   412,101043,19380902,    0,    0
   412,101043,19380903,   19,    0
   412,101043,19380904,    0,    0
   412,101043,19380905,    0,    0
   412,101043,19380906,    0,    0
   412,101043,19380907,    0,    0
   412,101043,19380908,    0,    0
   412,101043,19380909,    1,    0
   412,101043,19380910,    0,    0
   412,101043,19380911,    0,    0
   412,101043,19380912,    0,    0
   412,101043,19380913,    0,    0
   412,101043,19380914,  218,    0
   412,101043,19380915,    0,    0
   412,101043,19380916,    7,    0
   412,101043,19380917,-9999,    9
   412,101043,19380918,-9999,    9
   412,101043,19380919,-9999,    9
   412,101043,19380920,-9999,    9
   412,101043,19380921,-9999,    9
   412,101043,19380922,-9999,    9
   412,101043,19380923,-9999,    9
   412,101043,19380924,-9999,    9
   412,101043,19380925,-9999,    9
   412,101043,19380926,-9999,    9
   412,101043,19380927,-9999,    9
   412,101043,19380928,-9999,    9
   412,101043,19380929,-9999,    9
   412,101043,19380930,-9999,    9
   412,101043,19381001,  248,    0
   412,101043,19381002,    0,    0
   412,101043,19381003,    0,    0
   412,101043,19381004,    0,    0
   412,101043,19381005,    0,    0
   412,101043,19381006,    2,    0
   412,101043,19381007,    4,    0
   412,101043,19381008,    0,    0
   412,101043,19381009,    0,    0
   412,101043,19381010,    0,    0
   412,101043,19381011,    0,    0
   412,101043,19381012,    0,    0
   412,101043,19381013,    0,    0
   412,101043,19381014,    0,    0
   412,101043,19381015,    0,    0
   412,101043,19381016,    0,    0
   412,101043,19381017,    0,    0
   412,101043,19381018,    0,    0
   412,101043,19381019,    0,    0
   412,101043,19381020,    0,    0
   412,101043,19381021,    0,    0
   412,101043,19381022,    8,    0
   412,101043,19381023,   40,    0
   412,101043,19381024,  159,    0
   412,101043,19381025,    6,    0
   412,101043,19381026,    0,    0
   412,101043,19381027,    0,    0
   412,101043,19381028,    0,    0
   412,101043,19381029,    0,    0
   412,101043,19381030,    0,    0
   412,101043,19381031,    0,    0
   412,101043,19381101,    0,    0
   412,101043,19381102,    0,    0
