EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 07-12-2020
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : precipitation amount in 0.1 mm
30-34 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 100065) of CYPRUS, AMIANDOS (STAID: 22)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   RR, Q_RR
    22,100065,19151201,-9999,    9
    22,100065,19151202,-9999,    9
    22,100065,19151203,-9999,    9
    22,100065,19151204,-9999,    9
    22,100065,19151205,-9999,    9
    22,100065,19151206,-9999,    9
    22,100065,19151207,-9999,    9
    22,100065,19151208,-9999,    9
    22,100065,19151209,-9999,    9
    22,100065,19151210,-9999,    9
    22,100065,19151211,-9999,    9
    22,100065,19151212,-9999,    9
    22,100065,19151213,-9999,    9
    22,100065,19151214,-9999,    9
    22,100065,19151215,-9999,    9
    22,100065,19151216,-9999,    9
    22,100065,19151217,-9999,    9
    22,100065,19151218,-9999,    9
    22,100065,19151219,-9999,    9
    22,100065,19151220,-9999,    9
    22,100065,19151221,-9999,    9
    22,100065,19151222,-9999,    9
    22,100065,19151223,-9999,    9
    22,100065,19151224,-9999,    9
    22,100065,19151225,-9999,    9
    22,100065,19151226,-9999,    9
    22,100065,19151227,-9999,    9
    22,100065,19151228,-9999,    9
    22,100065,19151229,-9999,    9
    22,100065,19151230,-9999,    9
    22,100065,19151231,-9999,    9
    22,100065,19160101,-9999,    9
    22,100065,19160102,-9999,    9
    22,100065,19160103,-9999,    9
    22,100065,19160104,-9999,    9
    22,100065,19160105,-9999,    9
    22,100065,19160106,-9999,    9
    22,100065,19160107,-9999,    9
    22,100065,19160108,-9999,    9
    22,100065,19160109,-9999,    9
    22,100065,19160110,-9999,    9
    22,100065,19160111,-9999,    9
    22,100065,19160112,-9999,    9
    22,100065,19160113,-9999,    9
    22,100065,19160114,-9999,    9
    22,100065,19160115,-9999,    9
    22,100065,19160116,-9999,    9
    22,100065,19160117,-9999,    9
    22,100065,19160118,-9999,    9
    22,100065,19160119,-9999,    9
    22,100065,19160120,-9999,    9
    22,100065,19160121,-9999,    9
    22,100065,19160122,-9999,    9
    22,100065,19160123,-9999,    9
    22,100065,19160124,-9999,    9
    22,100065,19160125,-9999,    9
    22,100065,19160126,-9999,    9
    22,100065,19160127,-9999,    9
    22,100065,19160128,-9999,    9
    22,100065,19160129,-9999,    9
    22,100065,19160130,-9999,    9
    22,100065,19160131,-9999,    9
    22,100065,19160201,-9999,    9
    22,100065,19160202,-9999,    9
    22,100065,19160203,-9999,    9
    22,100065,19160204,-9999,    9
    22,100065,19160205,-9999,    9
    22,100065,19160206,-9999,    9
    22,100065,19160207,-9999,    9
    22,100065,19160208,-9999,    9
    22,100065,19160209,-9999,    9
    22,100065,19160210,-9999,    9
    22,100065,19160211,-9999,    9
    22,100065,19160212,-9999,    9
    22,100065,19160213,-9999,    9
    22,100065,19160214,-9999,    9
    22,100065,19160215,-9999,    9
    22,100065,19160216,-9999,    9
    22,100065,19160217,-9999,    9
    22,100065,19160218,-9999,    9
    22,100065,19160219,-9999,    9
    22,100065,19160220,-9999,    9
    22,100065,19160221,-9999,    9
    22,100065,19160222,-9999,    9
    22,100065,19160223,-9999,    9
    22,100065,19160224,-9999,    9
    22,100065,19160225,-9999,    9
    22,100065,19160226,-9999,    9
