EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 07-12-2020
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : precipitation amount in 0.1 mm
30-34 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 105238) of GREECE, CHANIA (STAID: 754)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   RR, Q_RR
   754,105238,19580101,   84,    0
   754,105238,19580102,   12,    0
   754,105238,19580103,    0,    0
   754,105238,19580104,  113,    0
   754,105238,19580105,    0,    0
   754,105238,19580106,    2,    0
   754,105238,19580107,   48,    0
   754,105238,19580108,    3,    0
   754,105238,19580109,  100,    0
   754,105238,19580110,    0,    0
   754,105238,19580111,    0,    0
   754,105238,19580112,    0,    0
   754,105238,19580113,    2,    0
   754,105238,19580114,   22,    0
   754,105238,19580115,   46,    0
   754,105238,19580116,   10,    0
   754,105238,19580117,    0,    0
   754,105238,19580118,   18,    0
   754,105238,19580119,    6,    0
   754,105238,19580120,   63,    0
   754,105238,19580121,    0,    0
   754,105238,19580122,    0,    0
   754,105238,19580123,   13,    0
   754,105238,19580124,    8,    0
   754,105238,19580125,   26,    0
   754,105238,19580126,   12,    0
   754,105238,19580127,   50,    0
   754,105238,19580128,  208,    0
   754,105238,19580129,   86,    0
   754,105238,19580130,    4,    0
   754,105238,19580131,    0,    0
   754,105238,19580201,    0,    0
   754,105238,19580202,    1,    0
   754,105238,19580203,    0,    0
   754,105238,19580204,    0,    0
   754,105238,19580205,    0,    0
   754,105238,19580206,    0,    0
   754,105238,19580207,    0,    0
   754,105238,19580208,    0,    0
   754,105238,19580209,    0,    0
   754,105238,19580210,    0,    0
   754,105238,19580211,    0,    0
   754,105238,19580212,    0,    0
   754,105238,19580213,    0,    0
   754,105238,19580214,    0,    0
   754,105238,19580215,    0,    0
   754,105238,19580216,    0,    0
   754,105238,19580217,    0,    0
   754,105238,19580218,    0,    0
   754,105238,19580219,    0,    0
   754,105238,19580220,    8,    0
   754,105238,19580221,   32,    0
   754,105238,19580222,    2,    0
   754,105238,19580223,   25,    0
   754,105238,19580224,    0,    0
   754,105238,19580225,    0,    0
   754,105238,19580226,    0,    0
   754,105238,19580227,    0,    0
   754,105238,19580228,    0,    0
   754,105238,19580301,   50,    0
   754,105238,19580302,   57,    0
   754,105238,19580303,   35,    0
   754,105238,19580304,    0,    0
   754,105238,19580305,    0,    0
   754,105238,19580306,    4,    0
   754,105238,19580307,  122,    0
   754,105238,19580308,    0,    0
   754,105238,19580309,    0,    0
   754,105238,19580310,    0,    0
   754,105238,19580311,    0,    0
   754,105238,19580312,    0,    0
   754,105238,19580313,   26,    0
   754,105238,19580314,    5,    0
   754,105238,19580315,   21,    0
   754,105238,19580316,   25,    0
   754,105238,19580317,   11,    0
   754,105238,19580318,    0,    0
   754,105238,19580319,    0,    0
   754,105238,19580320,    3,    0
   754,105238,19580321,   14,    0
   754,105238,19580322,   57,    0
   754,105238,19580323,    0,    0
   754,105238,19580324,    0,    0
   754,105238,19580325,    0,    0
   754,105238,19580326,    0,    0
   754,105238,19580327,   29,    0
   754,105238,19580328,    0,    0
   754,105238,19580329,    0,    0
   754,105238,19580330,    0,    0
   754,105238,19580331,    0,    0
   754,105238,19580401,    0,    0
   754,105238,19580402,    0,    0
   754,105238,19580403,    3,    0
   754,105238,19580404,    0,    0
   754,105238,19580405,    0,    0
   754,105238,19580406,    0,    0
   754,105238,19580407,    0,    0
   754,105238,19580408,    0,    0
   754,105238,19580409,   34,    0
   754,105238,19580410,   16,    0
   754,105238,19580411,    0,    0
   754,105238,19580412,    0,    0
   754,105238,19580413,    0,    0
   754,105238,19580414,    0,    0
   754,105238,19580415,    2,    0
   754,105238,19580416,    0,    0
   754,105238,19580417,    0,    0
   754,105238,19580418,    0,    0
   754,105238,19580419,    6,    0
   754,105238,19580420,   70,    0
   754,105238,19580421,    0,    0
   754,105238,19580422,    0,    0
   754,105238,19580423,    0,    0
   754,105238,19580424,    0,    0
   754,105238,19580425,    0,    0
   754,105238,19580426,    0,    0
   754,105238,19580427,    0,    0
   754,105238,19580428,    0,    0
   754,105238,19580429,    0,    0
   754,105238,19580430,   32,    0
   754,105238,19580501,    3,    0
   754,105238,19580502,   37,    0
   754,105238,19580503,    0,    0
   754,105238,19580504,    0,    0
   754,105238,19580505,    0,    0
   754,105238,19580506,    0,    0
   754,105238,19580507,    0,    0
   754,105238,19580508,    0,    0
   754,105238,19580509,    0,    0
   754,105238,19580510,    0,    0
   754,105238,19580511,    0,    0
   754,105238,19580512,    0,    0
   754,105238,19580513,    0,    0
   754,105238,19580514,    0,    0
   754,105238,19580515,    0,    0
   754,105238,19580516,    0,    0
   754,105238,19580517,    0,    0
   754,105238,19580518,    0,    0
   754,105238,19580519,    0,    0
   754,105238,19580520,    0,    0
   754,105238,19580521,    0,    0
   754,105238,19580522,    0,    0
   754,105238,19580523,    0,    0
   754,105238,19580524,    0,    0
   754,105238,19580525,    0,    0
   754,105238,19580526,    0,    0
   754,105238,19580527,    0,    0
   754,105238,19580528,    0,    0
   754,105238,19580529,    0,    0
   754,105238,19580530,    0,    0
   754,105238,19580531,    0,    0
   754,105238,19580601,    0,    0
   754,105238,19580602,    0,    0
   754,105238,19580603,    0,    0
   754,105238,19580604,    0,    0
   754,105238,19580605,    0,    0
   754,105238,19580606,    0,    0
   754,105238,19580607,    0,    0
   754,105238,19580608,    0,    0
   754,105238,19580609,    0,    0
   754,105238,19580610,    0,    0
   754,105238,19580611,    0,    0
   754,105238,19580612,    0,    0
   754,105238,19580613,    0,    0
   754,105238,19580614,    0,    0
   754,105238,19580615,    0,    0
   754,105238,19580616,   42,    0
   754,105238,19580617,    0,    0
   754,105238,19580618,    0,    0
   754,105238,19580619,    0,    0
   754,105238,19580620,    0,    0
   754,105238,19580621,    0,    0
   754,105238,19580622,    0,    0
