EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 07-12-2020
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : precipitation amount in 0.1 mm
30-34 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 104894) of FRANCE, MARSEILLE OBS. PALAIS-LONCHAMP (STAID: 31)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   RR, Q_RR
    31,104894,18810101,    0,    0
    31,104894,18810102,    2,    0
    31,104894,18810103,   58,    0
    31,104894,18810104,  152,    0
    31,104894,18810105,    0,    0
    31,104894,18810106,    7,    0
    31,104894,18810107,    0,    0
    31,104894,18810108,    0,    0
    31,104894,18810109,    0,    0
    31,104894,18810110,   16,    0
    31,104894,18810111,    0,    0
    31,104894,18810112,   23,    0
    31,104894,18810113,   21,    0
    31,104894,18810114,  117,    0
    31,104894,18810115,   25,    0
    31,104894,18810116,    0,    0
    31,104894,18810117,   28,    0
    31,104894,18810118,    1,    0
    31,104894,18810119,    1,    0
    31,104894,18810120,    0,    0
    31,104894,18810121,   51,    0
    31,104894,18810122,   21,    0
    31,104894,18810123,    0,    0
    31,104894,18810124,    0,    0
    31,104894,18810125,    8,    0
    31,104894,18810126,   10,    0
    31,104894,18810127,   16,    0
    31,104894,18810128,    0,    0
    31,104894,18810129,  131,    0
    31,104894,18810130,    0,    0
    31,104894,18810131,    0,    0
    31,104894,18810201,   20,    0
    31,104894,18810202,    0,    0
    31,104894,18810203,    0,    0
    31,104894,18810204,    0,    0
    31,104894,18810205,   70,    0
    31,104894,18810206,    0,    0
    31,104894,18810207,    0,    0
    31,104894,18810208,    0,    0
    31,104894,18810209,    0,    0
    31,104894,18810210,    0,    0
    31,104894,18810211,   12,    0
    31,104894,18810212,    0,    0
    31,104894,18810213,    0,    0
    31,104894,18810214,    0,    0
    31,104894,18810215,    0,    0
    31,104894,18810216,    1,    0
    31,104894,18810217,    9,    0
    31,104894,18810218,    0,    0
    31,104894,18810219,    0,    0
    31,104894,18810220,    0,    0
    31,104894,18810221,    0,    0
    31,104894,18810222,    0,    0
    31,104894,18810223,    0,    0
    31,104894,18810224,    0,    0
    31,104894,18810225,    0,    0
    31,104894,18810226,  136,    0
    31,104894,18810227,   10,    0
    31,104894,18810228,  103,    0
    31,104894,18810301,    0,    0
    31,104894,18810302,    0,    0
    31,104894,18810303,    0,    0
    31,104894,18810304,    0,    0
    31,104894,18810305,    0,    0
    31,104894,18810306,    0,    0
    31,104894,18810307,    0,    0
    31,104894,18810308,    0,    0
    31,104894,18810309,    0,    0
    31,104894,18810310,    0,    0
    31,104894,18810311,    0,    0
    31,104894,18810312,    0,    0
    31,104894,18810313,    0,    0
    31,104894,18810314,  117,    0
    31,104894,18810315,    0,    0
    31,104894,18810316,    0,    0
    31,104894,18810317,    0,    0
    31,104894,18810318,    0,    0
    31,104894,18810319,    0,    0
    31,104894,18810320,    0,    0
    31,104894,18810321,    0,    0
    31,104894,18810322,    0,    0
    31,104894,18810323,    0,    0
    31,104894,18810324,    6,    0
    31,104894,18810325,   60,    0
    31,104894,18810326,    0,    0
    31,104894,18810327,    0,    0
    31,104894,18810328,    0,    0
    31,104894,18810329,    2,    0
    31,104894,18810330,   42,    0
    31,104894,18810331,    0,    0
    31,104894,18810401,   78,    0
    31,104894,18810402,    6,    0
    31,104894,18810403,    0,    0
    31,104894,18810404,   42,    0
    31,104894,18810405,    0,    0
    31,104894,18810406,    9,    0
    31,104894,18810407,    6,    0
    31,104894,18810408,    0,    0
    31,104894,18810409,    0,    0
    31,104894,18810410,    0,    0
    31,104894,18810411,   54,    0
    31,104894,18810412,    0,    0
    31,104894,18810413,    0,    0
    31,104894,18810414,   80,    0
    31,104894,18810415,    0,    0
    31,104894,18810416,    0,    0
    31,104894,18810417,    0,    0
    31,104894,18810418,    2,    0
    31,104894,18810419,    0,    0
    31,104894,18810420,    0,    0
    31,104894,18810421,    0,    0
    31,104894,18810422,    0,    0
    31,104894,18810423,    0,    0
    31,104894,18810424,    0,    0
    31,104894,18810425,    1,    0
    31,104894,18810426,    0,    0
    31,104894,18810427,    0,    0
    31,104894,18810428,    0,    0
    31,104894,18810429,    0,    0
    31,104894,18810430,    0,    0
    31,104894,18810501,    0,    0
    31,104894,18810502,   36,    0
    31,104894,18810503,    0,    0
    31,104894,18810504,    0,    0
    31,104894,18810505,    0,    0
    31,104894,18810506,    0,    0
    31,104894,18810507,    0,    0
    31,104894,18810508,    0,    0
    31,104894,18810509,    0,    0
    31,104894,18810510,   50,    0
    31,104894,18810511,    0,    0
    31,104894,18810512,    0,    0
    31,104894,18810513,    0,    0
    31,104894,18810514,    0,    0
    31,104894,18810515,    0,    0
    31,104894,18810516,    0,    0
    31,104894,18810517,    0,    0
    31,104894,18810518,    0,    0
    31,104894,18810519,    0,    0
    31,104894,18810520,    0,    0
    31,104894,18810521,    0,    0
    31,104894,18810522,    0,    0
    31,104894,18810523,    0,    0
    31,104894,18810524,    0,    0
    31,104894,18810525,    0,    0
    31,104894,18810526,  174,    0
    31,104894,18810527,    0,    0
    31,104894,18810528,    0,    0
    31,104894,18810529,    0,    0
    31,104894,18810530,   85,    0
    31,104894,18810531,   67,    0
    31,104894,18810601,   16,    0
    31,104894,18810602,    0,    0
    31,104894,18810603,    0,    0
    31,104894,18810604,    0,    0
    31,104894,18810605,    0,    0
    31,104894,18810606,   17,    0
    31,104894,18810607,    0,    0
    31,104894,18810608,    0,    0
    31,104894,18810609,    0,    0
    31,104894,18810610,    2,    0
    31,104894,18810611,    0,    0
    31,104894,18810612,    0,    0
    31,104894,18810613,    0,    0
    31,104894,18810614,    0,    0
    31,104894,18810615,    0,    0
