"STATION","NAME","DATE","PRCP"
"GR000167460","SOUDA AIRPORT, GR","2005-12-01","0.00"
"GR000167460","SOUDA AIRPORT, GR","2005-12-02","0.00"
"GR000167460","SOUDA AIRPORT, GR","2005-12-03","0.00"
"GR000167460","SOUDA AIRPORT, GR","2005-12-04","0.00"
"GR000167460","SOUDA AIRPORT, GR","2005-12-05","0.00"
"GR000167460","SOUDA AIRPORT, GR","2005-12-06",
"GR000167460","SOUDA AIRPORT, GR","2005-12-07",
"GR000167460","SOUDA AIRPORT, GR","2005-12-08","0.01"
"GR000167460","SOUDA AIRPORT, GR","2005-12-09","0.12"
"GR000167460","SOUDA AIRPORT, GR","2005-12-10","0.01"
"GR000167460","SOUDA AIRPORT, GR","2005-12-11","0.00"
"GR000167460","SOUDA AIRPORT, GR","2005-12-12","0.00"
"GR000167460","SOUDA AIRPORT, GR","2005-12-13","0.00"
"GR000167460","SOUDA AIRPORT, GR","2005-12-14","0.12"
"GR000167460","SOUDA AIRPORT, GR","2005-12-15","0.39"
"GR000167460","SOUDA AIRPORT, GR","2005-12-16","0.00"
"GR000167460","SOUDA AIRPORT, GR","2005-12-17","0.00"
"GR000167460","SOUDA AIRPORT, GR","2005-12-18","0.24"
"GR000167460","SOUDA AIRPORT, GR","2005-12-19","0.40"
"GR000167460","SOUDA AIRPORT, GR","2005-12-20","0.01"
"GR000167460","SOUDA AIRPORT, GR","2005-12-21","0.00"
"GR000167460","SOUDA AIRPORT, GR","2005-12-22","0.00"
"GR000167460","SOUDA AIRPORT, GR","2005-12-23","0.12"
"GR000167460","SOUDA AIRPORT, GR","2005-12-24","0.63"
"GR000167460","SOUDA AIRPORT, GR","2005-12-25","0.00"
"GR000167460","SOUDA AIRPORT, GR","2005-12-26","0.02"
"GR000167460","SOUDA AIRPORT, GR","2005-12-27","0.20"
"GR000167460","SOUDA AIRPORT, GR","2005-12-28","0.00"
"GR000167460","SOUDA AIRPORT, GR","2005-12-29","0.00"
"GR000167460","SOUDA AIRPORT, GR","2005-12-30","0.00"
"GR000167460","SOUDA AIRPORT, GR","2005-12-31","0.00"
"GR000167460","SOUDA AIRPORT, GR","2006-01-01",
"GR000167460","SOUDA AIRPORT, GR","2006-01-02","0.00"
"GR000167460","SOUDA AIRPORT, GR","2006-01-03","0.00"
"GR000167460","SOUDA AIRPORT, GR","2006-01-04","0.00"
"GR000167460","SOUDA AIRPORT, GR","2006-01-05","0.08"
"GR000167460","SOUDA AIRPORT, GR","2006-01-06","0.04"
"GR000167460","SOUDA AIRPORT, GR","2006-01-07","0.24"
"GR000167460","SOUDA AIRPORT, GR","2006-01-08","0.00"
"GR000167460","SOUDA AIRPORT, GR","2006-01-09","0.15"
"GR000167460","SOUDA AIRPORT, GR","2006-01-10",
"GR000167460","SOUDA AIRPORT, GR","2006-01-11","0.36"
"GR000167460","SOUDA AIRPORT, GR","2006-01-12","0.12"
"GR000167460","SOUDA AIRPORT, GR","2006-01-13","0.44"
"GR000167460","SOUDA AIRPORT, GR","2006-01-14","0.36"
"GR000167460","SOUDA AIRPORT, GR","2006-01-15","0.08"
"GR000167460","SOUDA AIRPORT, GR","2006-01-16",
"GR000167460","SOUDA AIRPORT, GR","2006-01-17","0.00"
"GR000167460","SOUDA AIRPORT, GR","2006-01-18",
"GR000167460","SOUDA AIRPORT, GR","2006-01-19",
"GR000167460","SOUDA AIRPORT, GR","2006-01-20",
"GR000167460","SOUDA AIRPORT, GR","2006-01-21","0.00"
"GR000167460","SOUDA AIRPORT, GR","2006-01-22","0.12"
"GR000167460","SOUDA AIRPORT, GR","2006-01-23","0.36"
"GR000167460","SOUDA AIRPORT, GR","2006-01-24","2.36"
"GR000167460","SOUDA AIRPORT, GR","2006-01-25","0.16"
"GR000167460","SOUDA AIRPORT, GR","2006-01-26","0.00"
"GR000167460","SOUDA AIRPORT, GR","2006-01-27","0.08"
"GR000167460","SOUDA AIRPORT, GR","2006-01-28",
"GR000167460","SOUDA AIRPORT, GR","2006-01-29","0.00"
"GR000167460","SOUDA AIRPORT, GR","2006-01-30",
"GR000167460","SOUDA AIRPORT, GR","2006-01-31","0.00"
"GR000167460","SOUDA AIRPORT, GR","2006-02-01","0.28"
"GR000167460","SOUDA AIRPORT, GR","2006-02-02","0.94"
"GR000167460","SOUDA AIRPORT, GR","2006-02-03","0.00"
"GR000167460","SOUDA AIRPORT, GR","2006-02-04","0.00"
"GR000167460","SOUDA AIRPORT, GR","2006-02-05","0.00"
"GR000167460","SOUDA AIRPORT, GR","2006-02-06","0.51"
"GR000167460","SOUDA AIRPORT, GR","2006-02-07","2.72"
"GR000167460","SOUDA AIRPORT, GR","2006-02-08","0.12"
"GR000167460","SOUDA AIRPORT, GR","2006-02-09","0.00"
"GR000167460","SOUDA AIRPORT, GR","2006-02-10","0.00"
"GR000167460","SOUDA AIRPORT, GR","2006-02-11","0.02"
"GR000167460","SOUDA AIRPORT, GR","2006-02-12","0.31"
"GR000167460","SOUDA AIRPORT, GR","2006-02-13","0.00"
"GR000167460","SOUDA AIRPORT, GR","2006-02-14","0.28"
"GR000167460","SOUDA AIRPORT, GR","2006-02-15","0.03"
"GR000167460","SOUDA AIRPORT, GR","2006-02-16",
"GR000167460","SOUDA AIRPORT, GR","2006-02-17","0.01"
"GR000167460","SOUDA AIRPORT, GR","2006-02-18",
"GR000167460","SOUDA AIRPORT, GR","2006-02-19","0.01"
"GR000167460","SOUDA AIRPORT, GR","2006-02-20","0.03"
"GR000167460","SOUDA AIRPORT, GR","2006-02-21","0.00"
"GR000167460","SOUDA AIRPORT, GR","2006-02-22",
"GR000167460","SOUDA AIRPORT, GR","2006-02-23","0.00"
"GR000167460","SOUDA AIRPORT, GR","2006-02-24",
"GR000167460","SOUDA AIRPORT, GR","2006-02-25","0.00"
"GR000167460","SOUDA AIRPORT, GR","2006-02-26",
"GR000167460","SOUDA AIRPORT, GR","2006-02-27","0.00"
"GR000167460","SOUDA AIRPORT, GR","2006-02-28","0.00"
"GR000167460","SOUDA AIRPORT, GR","2006-03-01","0.00"
"GR000167460","SOUDA AIRPORT, GR","2006-03-02","0.00"
"GR000167460","SOUDA AIRPORT, GR","2006-03-03","0.00"
"GR000167460","SOUDA AIRPORT, GR","2006-03-04","0.00"
"GR000167460","SOUDA AIRPORT, GR","2006-03-05",
"GR000167460","SOUDA AIRPORT, GR","2006-03-06","0.00"
"GR000167460","SOUDA AIRPORT, GR","2006-03-07","0.10"
"GR000167460","SOUDA AIRPORT, GR","2006-03-08","0.40"
"GR000167460","SOUDA AIRPORT, GR","2006-03-09","0.00"
"GR000167460","SOUDA AIRPORT, GR","2006-03-10","0.00"
"GR000167460","SOUDA AIRPORT, GR","2006-03-11","0.00"
"GR000167460","SOUDA AIRPORT, GR","2006-03-12","0.24"
"GR000167460","SOUDA AIRPORT, GR","2006-03-13","0.14"
"GR000167460","SOUDA AIRPORT, GR","2006-03-14","0.08"
"GR000167460","SOUDA AIRPORT, GR","2006-03-15","0.00"
"GR000167460","SOUDA AIRPORT, GR","2006-03-16","0.00"
"GR000167460","SOUDA AIRPORT, GR","2006-03-17","0.00"
"GR000167460","SOUDA AIRPORT, GR","2006-03-18","0.00"
"GR000167460","SOUDA AIRPORT, GR","2006-03-19","0.00"
"GR000167460","SOUDA AIRPORT, GR","2006-03-20","0.00"
"GR000167460","SOUDA AIRPORT, GR","2006-03-21","0.00"
"GR000167460","SOUDA AIRPORT, GR","2006-03-22","0.00"
